session,animal,date,twopRecordedTrials,twopAlignedDataTrials,bpodTrials
200330a,Plex50,2020-32-28_160747,,,
200330a,Plex50,2020-50-28_170733,,,
200330a,Plex50,2020-17-30_100722,,,
200330a,Plex50,2020-11-30_220733,,,
200330a,Plex50,2020-40-01_200834,,,
200330a,Plex50,2020-20-07_000806,,,
200330a,Plex50,2020-53-11_160832,,,
200330a,Plex50,2020-25-13_230818,,,
200320,CSP30,2020-26-14_090852,,,
200319,CSP30,2020-28-14_090835,,,
20200320a,CSP27,2020-00-14_100855,,,
200330a,Plex50,2020-04-14_110806,,,
200330a,Plex50,2020-48-14_170853,,,
200330a,Plex50,2020-26-15_200812,,,
200331a,CSP30,2020-23-15_210830,,,
200331,CSP30,2020-24-15_220839,,,
200331,CSP30,2020-08-16_203134,,,
20200329a,CSP27,2020-08-16_213904,,,
20200329,CSP27,2020-08-16_215410,,,
20200329,CSP27,2020-08-16_224752,,,
20200329,CSP27,2020-08-16_224958,,,
20200329,CSP27,2020-08-16_233031,,,
20200321a,CSP27,2020-08-16_234431,,,
20200402b,Plex50,2020-08-16_234907,,,
200320,Plex50,2020-08-18_214232,,,
200321,Plex50,2020-08-18_214731,,,
200323,Plex50,2020-08-18_214946,,,
200323,Plex50,2020-08-19_225125,,,
200323,Plex50,2020-08-19_230234,,,
200323,Plex50,2020-08-20_174125,,,
20200320,CSP27,2020-08-20_174325,,,
20200329,CSP27,2020-08-20_174458,,,
200318,CSP30,2020-08-20_174648,,,
200318,CSP30,2020-08-21_000832,,,
200318,CSP30,2020-08-25_221309,,,
200318,CSP30,2020-08-25_221708,,,
200318a,CSP30,2020-08-25_223555,,,
200318a,CSP30,2020-08-25_233847,,,
200318a,CSP30,2020-08-26_102648,,,
200318a,CSP30,2020-08-26_110241,,,
20200307,CSP27,2020-08-26_145940,,,
20200307,CSP27,2020-08-26_214122,,,
20200307,CSP27,2020-08-26_231309,,,
20200307,CSP27,2020-08-27_122755,,,
20200307,CSP27,2020-08-27_130514,,,
20200307,CSP27,2020-08-27_200917,,,
200330a,Plex50,2020-08-28_220506,,,
20200307,CSP27,2020-08-29_212318,,,
20200307a,CSP27,2020-08-31_225524,,,
20200308,CSP27,2020-08-31_230001,,,
20200308a,CSP27,2020-08-31_230250,,,
20200320,CSP27,2020-08-31_231032,,,
20200320a,CSP27,2020-08-31_231240,,,
20200321,CSP27,2020-08-31_231446,,,
20200321a,CSP27,2020-08-31_232730,,,
20200328,CSP27,2020-08-31_232925,,,
20200328a,CSP27,2020-08-31_233110,,,
20200329,CSP27,2020-08-31_233243,,,
20200329a,CSP27,2020-09-01_000027,,,
20200322,CSP29,2020-09-01_000451,,,
20200322a,CSP29,2020-09-01_000705,,,
20200304,CSP29,2020-09-01_094401,,,
20200305,CSP29,2020-09-01_100048,,,
20200305a,CSP29,2020-09-01_100209,,,
20200306,CSP29,2020-09-01_101532,,,
20200322,CSP29,2020-09-01_101824,,,
20200322,CSP29,2020-09-01_102833,,,
20200322a,CSP29,2020-09-01_103209,,,
20200322a,CSP29,2020-09-01_134832,,,
200301,CSP30,2020-09-01_135451,,,
200301a,CSP30,2020-09-01_135718,,,
200302,CSP30,2020-09-01_135835,,,
200316,CSP30,2020-09-01_140038,,,
200303,CSP30,2020-09-01_140622,,,
200316a,CSP30,2020-09-01_140753,,,
200316a,CSP30,2020-09-01_141421,,,
200302,CSP30,2020-09-01_142751,,,
200301a,CSP30,2020-09-01_142908,,,
200317,CSP30,2020-09-01_171339,,,
200317a,CSP30,2020-09-01_213827,,,
200317a,CSP30,2020-09-01_214140,,,
200319,CSP30,2020-09-01_214432,,,
200319,CSP30,2020-09-01_221052,,,
200319,CSP30,2020-09-01_221218,,,
200319,CSP30,2020-09-01_221642,,,
200319,CSP30,2020-09-01_222513,,,
200320,CSP30,2020-09-01_223402,,,
200331,CSP30,2020-09-01_223553,,,
200331a,CSP30,2020-09-01_223848,,,
200401,CSP30,2020-09-01_224942,,,
20200401a,CSP30,2020-09-01_225234,,,
200320,Plex50,2020-09-01_230844,,,
200321,Plex50,2020-09-01_231515,,,
200321,Plex50,2020-09-01_231728,,,
200323,Plex50,2020-09-01_232255,,,
200330,Plex50,2020-09-01_233012,,,
200401a,Plex50,2020-09-01_233556,,,
20200402b,Plex50,2020-09-01_234015,,,
200320,Plex51,2020-09-01_234448,,,
200325,Plex51,2020-09-01_234617,,,
200326,Plex51,2020-09-01_235434,,,
200401b,Plex51,2020-09-01_235842,,,
200325,Plex51,2020-09-02_110234,,,
200401a,Plex51,2020-09-02_110533,,,
200331a,Plex51,2020-09-02_113022,,,
200327a,Plex51,2020-09-02_113208,,,
200401,Plex51,2020-09-02_114143,,,
200401a,Plex51,2020-09-02_115112,,,
200401b,Plex51,2020-09-02_115456,,,
200401b,Plex51,2020-09-02_125332,,,
200402,Plex51,2020-09-02_134405,,,
200402,Plex51,2020-09-07_164908,,,
20200328,CSP27,2020-09-09_224015,,,
20200328,CSP27,2020-09-13_223516,,,
20200328,CSP27,2020-09-13_223820,,,
20200328,CSP27,2020-09-15_102434,,,
20200328,CSP27,2020-09-15_221418,,,
20200328,CSP27,2020-09-22_155631,,,
20200402a,Fez51,2020-09-22_233230,,,
20200402a,Fez51,2020-09-22_234339,,,
20200402a,Fez51,2020-09-23_130639,,,
20200402a,Fez51,2020-09-23_150147,,,
20200402a,Fez51,2020-09-23_150512,,,
20200402,Fez51,2020-09-23_152053,,,
20200402,Fez51,2020-09-23_152411,,,
20200402,Fez51,2020-09-23_153122,,,
20200402,Fez51,2020-09-23_153352,,,
20200402,Fez51,2020-09-23_154440,,,
20200307,CSP27,2020-09-23_162424,,,
20200308,CSP27,2020-09-23_162929,,,
20200308,CSP27,2020-09-23_163127,,,
20200331,Fez51,2020-09-23_163320,,,
20200331,Fez51,2020-09-23_164059,,,
20200621,Fez51,2020-09-23_164642,,,
200331,CSP30,2020-09-23_165210,,,
20200621,Fez51,2020-09-23_170818,,,
20200621,Fez51,2020-09-23_173045,,,
20200331,Fez51,2020-09-23_202509,,,
20200604,Fez61,2020-09-23_203304,,,
20200604,Fez61,2020-09-23_203709,,,
20200604,Fez61,2020-09-23_210225,,,
20200604,Fez61,2020-09-23_210722,,,
20200604,Fez61,2020-09-23_211420,,,
20200605a,Fez61,2020-09-23_235509,,,
20200605a,Fez61,2020-09-24_000440,,,
20200605a,Fez61,2020-09-24_002259,,,
20200606,Fez61,2020-09-24_084041,,,
20200605a,Fez61,2020-09-24_093859,,,
20200605,Fez61,2020-09-24_095157,,,
20200604,Fez61,2020-09-24_095419,,,
20200703,Fez59,2020-09-24_100057,,,
20200702,Fez59,2020-09-24_100619,,,
20200703,Fez59,2020-09-24_101930,,,
20200701,Fez59,2020-09-24_103004,,,
20200630,Fez59,2020-09-24_103232,,,
20200626,Fez59,2020-09-24_104208,,,
20200624,Fez59,2020-09-24_104929,,,
20200608,Fez59,2020-09-24_110418,,,
20200606,Fez59,2020-09-24_110621,,,
20200608,Fez59,2020-09-24_110855,,,
20200608,Fez59,2020-09-24_111309,,,
20200605,Fez59,2020-09-24_111612,,,
20200604a,Fez59,2020-09-24_112330,,,
20200604a,Fez59,2020-09-24_112614,,,
20200604a,Fez59,2020-09-24_113745,,,
20200716a,Fez57,2020-09-24_113952,,,
20200716,Fez57,2020-09-24_115024,,,
20200715a,Fez57,2020-09-24_115918,,,
20200715,Fez57,2020-09-24_121409,,,
20200714,Fez57,2020-09-24_125939,,,
20200714,Fez57,2020-09-24_130340,,,
20200703,Fez57,2020-09-24_130502,,,
20200702,Fez57,2020-09-24_130938,,,
20200702,Fez57,2020-09-24_131144,,,
20200701,Fez57,2020-09-24_132114,,,
20200701,Fez57,2020-09-24_133407,,,
20200630,Fez57,2020-09-24_232114,,,
20200626,Fez57,2020-09-24_233222,,,
20200624,Fez57,2020-09-24_233531,,,
20200624,Fez57,2020-09-24_233734,,,
20200606,Fez57,2020-09-24_234118,,,
20200606,Fez57,2020-09-25_103553,,,
20200605,Fez57,2020-09-25_104059,,,
20200605,Fez57,2020-09-25_104504,,,
20200604a,Fez57,2020-09-25_104922,,,
20200604,Fez57,2020-09-25_105318,,,
20200716a,Fez51,2020-09-25_110333,,,
20200716,Fez51,2020-09-25_110543,,,
20200715a,Fez51,2020-09-25_110724,,,
20200715a,Fez51,2020-09-25_141400,,,
20200715a,Fez51,2020-09-25_142351,,,
20200715a,Fez51,2020-09-25_142605,,,
20200715,Fez51,2020-09-25_143839,,,
20200714,Fez51,2020-09-25_144027,,,
20200714,Fez51,2020-09-25_144223,,,
20200703,Fez51,2020-09-25_144349,,,
20200703,Fez51,2020-09-25_145615,,,
20200630,Fez51,2020-09-25_145811,,,
20200626,Fez51,2020-09-25_152230,,,
20200626,Fez51,2020-09-25_152510,,,
20200622,Fez51,2020-09-25_152713,,,
20200621,Fez51,2020-09-26_155400,,,
20200608,Fez51,2020-09-26_155704,,,
20200607,Fez51,2020-09-26_155817,,,
20200606,Fez51,2020-09-26_160201,,,
20200606,Fez51,2020-09-26_165739,,,
20200605,Fez51,2020-09-26_194129,,,
20200402a,Fez51,2020-09-26_194903,,,
20200402a,Fez51,2020-09-26_195031,,,
20200402a,Fez51,2020-09-26_195739,,,
20200402,Fez51,2020-09-26_200125,,,
20200401a,Fez51,2020-09-26_201354,,,
20200331,Fez51,2020-09-26_202816,,,
20200331a,Fez51,2020-10-01_203551,,,
20200331a,Fez51,2020-10-01_203752,,,
20200401,Fez51,2020-10-01_204025,,,
20200401a,Fez51,2020-10-01_204240,,,
20200607,Fez51,2020-10-01_210117,,,
20200402a,Fez51,2020-10-01_210336,,,
20200331,Fez51,2020-10-11_204545,,,
200320,Plex51,2020-10-11_205954,,,
200320,Plex51,2020-10-11_210143,,,
200325,Plex51,2020-10-11_210620,,,
200325,Plex51,2020-10-11_210835,,,
200326,Plex51,2020-10-11_211019,,,
200326,Plex51,2020-10-11_214419,,,
200326,Plex51,2020-10-11_221840,,,
200327,Plex51,2020-10-11_222238,,,
200327,Plex51,2020-10-12_174417,,,
200327,Plex51,2020-10-12_174559,,,
200327a,Plex51,2020-10-12_183557,,,
200328,Plex51,2020-10-12_214704,,,
200331a,Plex51,2020-10-12_214817,,,
200401,Plex51,2020-10-12_215108,,,
200401a,Plex51,2020-10-12_215205,,,
200401b,Plex51,2020-10-12_215310,,,
200402,Plex51,2020-10-12_215431,,,
20200402b,Plex50,2020-10-12_215613,,,
200401b,Plex50,2020-10-12_220457,,,
200401a,Plex50,2020-10-12_222637,,,
200401,Plex50,2020-10-12_222800,,,
20200402,Plex50,2020-10-12_224023,,,
200402a,Plex50,2020-10-12_231228,,,
200331a,Plex50,2020-10-13_142641,,,
200331a,Plex50,2020-10-13_144304,,,
200331,Plex50,2020-10-13_144703,,,
200401a,Plex50,2020-10-13_144833,,,
200320,Plex50,2020-10-13_145524,,,
200401,Plex50,2020-10-14_204814,,,
200330a,Plex50,2020-10-14_205139,,,
200330,Plex50,2020-10-14_205426,,,
200323,Plex50,2020-10-14_205647,,,
200322,Plex50,2020-10-14_210602,,,
200321,Plex50,2020-10-14_210752,,,
200320,Plex50,2020-10-14_210843,,,
